Dist Code,Year,State Code,State Name,Dist Name,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,ANNUAL
2,2009,14,Chhattisgarh,Bastar,0,0,0,0,41.9,87.6,446.9,315.5,113,26,0,0,1030.9
2,2010,14,Chhattisgarh,Bastar,6.1,3.1,10.1,36,38.2,133.1,422.7,436.8,320.1,151.5,35.4,30.1,1623.2
2,2011,14,Chhattisgarh,Bastar,0,29.1,0,50.4,86.4,120.4,241.5,292.3,328.3,12,0,0.1,1160.5
2,2012,14,Chhattisgarh,Bastar,31.1,0,1.2,68.5,44.3,123.5,406.8,451,366.8,29.6,19.8,0,1542.6
2,2013,14,Chhattisgarh,Bastar,0,14.9,0,90.7,32.3,433.6,294.9,236,147.8,180.6,3.7,0,1434.5
2,2014,14,Chhattisgarh,Bastar,0,0,30.9,43.9,62.4,129.3,388.8,340.2,379.4,100.7,1,0,1476.6
2,2015,14,Chhattisgarh,Bastar,2.4,2.6,26.2,73.8,49.5,411.9,149.8,406.8,381.7,22.7,0.2,10.9,1538.5
3,2005,14,Chhattisgarh,Raipur,68.6,25,0.9,2.4,25.9,155.9,493.5,255.3,229.3,91.2,0,0,1348
3,2006,14,Chhattisgarh,Raipur,0,0,35.6,31.2,72,59.6,384.5,430.5,177.5,14.4,1.4,0,1206.7
3,2007,14,Chhattisgarh,Raipur,0,19.5,0.2,0.2,4.1,525.2,320.1,284.6,238,28.3,14,0,1434.2
3,2008,14,Chhattisgarh,Raipur,6.5,10.1,2.6,1,5.8,262.8,233.1,279.5,289.7,23.4,0,0,1114.5
3,2009,14,Chhattisgarh,Raipur,0,0,0,2.1,4.9,25.8,571.8,246.4,66.4,20.1,0,0,937.5
3,2010,14,Chhattisgarh,Raipur,3.4,1,0,1.7,5,53.8,462.4,225,273.8,47.7,23.3,12,1109.1
3,2011,14,Chhattisgarh,Raipur,0,3.7,0.3,116.6,8.6,197.7,293.4,363.8,334.6,4.1,0.1,0,1322.9
3,2012,14,Chhattisgarh,Raipur,54.2,0,0,20,0.9,152.2,397.3,387.8,185.5,21.1,13.7,0.3,1233
3,2013,14,Chhattisgarh,Raipur,0.2,8.5,3.5,28.6,2.7,315.6,436.8,321.1,188.6,138,0,0,1443.6
3,2014,14,Chhattisgarh,Raipur,0,53.2,18.2,16.4,15.6,121.7,454.2,254.3,251.7,47.9,0,0,1233.2
3,2015,14,Chhattisgarh,Raipur,14.5,0.2,19.6,33.6,16.8,209.8,198.7,210.3,213.6,1.9,0,2.4,921.4
4,2005,14,Chhattisgarh,Bilaspur,74.2,39.6,7.7,14,41.5,305.2,450.4,269.4,200.8,72.9,0,0,1475.7
4,2006,14,Chhattisgarh,Bilaspur,0,0,75.8,20.2,90.8,56.6,369.4,316.1,128.4,29.6,3.9,0.9,1091.7
4,2007,14,Chhattisgarh,Bilaspur,0,61.5,22.1,11.8,26.9,190.2,353.5,306.4,281.6,9.8,5.6,0,1269.4
